"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 21 04:23:18 GMT 2025","Wed May 21 04:23:26 GMT 2025","7741","","SeleniumActionTests","","SeleniumActionTests","actionAPIDragAndDropTests","actionAPIDragAndDropTests()",""
"broken","Wed May 21 04:23:20 GMT 2025","Wed May 21 04:23:26 GMT 2025","5708","","SeleniumTests","","SeleniumTests","checkCalcSum","checkCalcSum()",""
"broken","Wed May 21 04:23:18 GMT 2025","Wed May 21 04:23:26 GMT 2025","7207","","SeleniumTests","","SeleniumTests","disabledInput","disabledInput()",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9380","","SeleniumLocatorsTests","","SeleniumLocatorsTests","xpathSelectorsTest","xpathSelectorsTest()",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:26 GMT 2025","10180","","SeleniumShadowDomTests","","SeleniumShadowDomTests","testShadowDom","testShadowDom()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:14 GMT 2025","504","","SimpleJUnitTests","","SimpleJUnitTests","second","second()",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","8620","","SeleniumTests","","SeleniumTests","openCalc","openCalc()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","3","","SimpleJUnitTests","","SimpleJUnitTests","simpleJUnitTest","simpleJUnitTest()",""
"broken","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:26 GMT 2025","12732","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","8641","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest2","cssSelectorsTest2()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","23","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [1] John, Doe",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9598","","SeleniumActionTests","","SeleniumActionTests","actionAPIScrollTests","actionAPIScrollTests()",""
